id,name,uri_x,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,playlist
72u6WlUdYIx62Z33Xvh7A4,NEAR,spotify:track:72u6WlUdYIx62Z33Xvh7A4,0.834,0.776,95256,0.252,0.914,8,0.112,-8.335,1,0.233,87.115,4,0.617,focus
1ObOKw0qJFxwibmZ2hDzpk,Everyday Is Sunday,spotify:track:1ObOKw0qJFxwibmZ2hDzpk,0.446,0.76,55853,0.363,0.836,1,0.0971,-11.946,1,0.193,86.024,4,0.973,focus
0txBrbqYqFGspz6m3qUnaO,How High - Remix Instrumental,spotify:track:0txBrbqYqFGspz6m3qUnaO,0.00639,0.801,253478,0.599,0.69,4,0.143,-7.579,0,0.0321,88.992,4,0.963,focus
5TqO0lV4Vr1QrE7NAPYeVs,Simulation,spotify:track:5TqO0lV4Vr1QrE7NAPYeVs,0.0057,0.887,196923,0.404,0.822,1,0.108,-7.797,1,0.243,156.009,4,0.967,focus
1ZUeYLbdfEv6a43AZi6mEJ,Shimmer,spotify:track:1ZUeYLbdfEv6a43AZi6mEJ,0.11,0.704,66250,0.545,0.697,7,0.107,-6.858,1,0.0617,87.361,4,0.925,focus
0tPExt8WkgzcBgkWBBa8yy,realise,spotify:track:0tPExt8WkgzcBgkWBBa8yy,0.775,0.871,80051,0.418,0.168,5,0.343,-12.718,0,0.74,119.938,5,0.769,focus
4635v9Rpi1AELgNyp7vAsw,Lots of Happiness Turns To Gold,spotify:track:4635v9Rpi1AELgNyp7vAsw,0.0837,0.673,179318,0.4,0.817,8,0.11,-14.347,1,0.0295,83.031,4,0.533,focus
1olmsu1ZD5SV6mRwrUDhcs,waves,spotify:track:1olmsu1ZD5SV6mRwrUDhcs,0.038,0.819,94133,0.429,0.972,6,0.0793,-8.961,0,0.0685,87.239,4,0.87,focus
0iWqYwX2yJQ9go0yfS4Xsk,No Favors,spotify:track:0iWqYwX2yJQ9go0yfS4Xsk,0.602,0.795,280660,0.365,0.874,11,0.107,-10.964,0,0.33,170.016,4,0.865,focus
48ObflV3gauKmQKAbn2pkv,Emeralds,spotify:track:48ObflV3gauKmQKAbn2pkv,0.509,0.721,66588,0.282,0.841,3,0.107,-8.691,0,0.0356,94.043,4,0.771,focus
1sOSBD3KTLbehGl0qwkFV4,Raspberry,spotify:track:1sOSBD3KTLbehGl0qwkFV4,0.0197,0.782,180465,0.499,0.899,4,0.144,-9.856,0,0.0377,128.968,4,0.444,focus
65IGYjWJG1Esvl5vA8UTqA,HelloHello,spotify:track:65IGYjWJG1Esvl5vA8UTqA,0.000214,0.676,80405,0.792,0.346,2,0.101,-4.291,1,0.0377,101.197,4,0.866,focus
2sW3jwXpjNL006GBCMoeDM,Sun Rays,spotify:track:2sW3jwXpjNL006GBCMoeDM,0.0791,0.602,161000,0.627,0.899,0,0.155,-9.515,0,0.0502,169.971,4,0.484,focus
0SOgAUeBg7Ee7Pieslo8Ln,Sun,spotify:track:0SOgAUeBg7Ee7Pieslo8Ln,0.0197,0.738,121062,0.893,0.789,1,0.0982,-3.788,1,0.0424,83.319,4,0.741,focus
4xRR9sAdVoVaVQ4NNkaZ1W,Oh Baby,spotify:track:4xRR9sAdVoVaVQ4NNkaZ1W,0.00363,0.779,186721,0.747,0.836,6,0.112,-5.677,1,0.123,85.027,4,0.633,focus
7BzO4hHwpcFqxAxbb7mrbW,Pool Party,spotify:track:7BzO4hHwpcFqxAxbb7mrbW,0.0535,0.651,206000,0.847,0.89,5,0.168,-7.246,0,0.0723,92.988,4,0.701,focus
7sP146pj68A6y0Fmrsua4E,Then,spotify:track:7sP146pj68A6y0Fmrsua4E,0.137,0.68,74839,0.617,0.834,6,0.108,-8.662,1,0.0571,185.888,4,0.954,focus
3LAOefrhYwvEcDHjy2JeXF,Waves,spotify:track:3LAOefrhYwvEcDHjy2JeXF,0.457,0.68,143399,0.655,0.866,1,0.0985,-11.927,1,0.0409,97.999,4,0.0818,focus
4N6zGnKg8wuEvewMHahDoS,How It's Done,spotify:track:4N6zGnKg8wuEvewMHahDoS,0.445,0.513,98388,0.602,0.0952,3,0.599,-5.537,0,0.0353,88.481,4,0.88,focus
1Pfi65ofIHYvTf1bUlVHkt,Checks,spotify:track:1Pfi65ofIHYvTf1bUlVHkt,0.719,0.584,116442,0.686,0.883,0,0.203,-8.006,1,0.0683,153.954,4,0.712,focus
5uY6ZdIIHm3GsTB3qbBib8,Don't Leave,spotify:track:5uY6ZdIIHm3GsTB3qbBib8,0.102,0.641,135652,0.772,0.97,1,0.111,-9.845,1,0.0404,91.978,4,0.736,focus
6ANlZBvxm6BGfCbPsFp1VI,High at the Coktail,spotify:track:6ANlZBvxm6BGfCbPsFp1VI,0.324,0.644,85775,0.722,0.892,5,0.0895,-4.872,0,0.0787,89.519,4,0.769,focus
0b5azC0PhNbMwk6odjG9U2,The Waiting Game,spotify:track:0b5azC0PhNbMwk6odjG9U2,0.000129,0.578,163902,0.827,0.775,6,0.199,-2.921,0,0.0339,82.034,4,0.601,focus
0Z5tHXMUaWm4Oso8VK4i7B,elsa,spotify:track:0Z5tHXMUaWm4Oso8VK4i7B,0.149,0.734,155518,0.583,0.521,6,0.0991,-11.065,1,0.0466,88.023,4,0.967,focus
5ubSW5NVMcqA8Zp3niVGfM,wonder,spotify:track:5ubSW5NVMcqA8Zp3niVGfM,0.11,0.73,98000,0.761,0.859,7,0.0883,-10.429,1,0.246,192.135,4,0.401,focus
0YzZFUm6Rr6S4PhQxcVXgN,Shoes Flip,spotify:track:0YzZFUm6Rr6S4PhQxcVXgN,0.0121,0.613,92500,0.736,0.768,6,0.174,-4.679,0,0.143,78.977,4,0.69,focus
5s4HmX3pHUCRm8bRK0L4tx,Wound Up,spotify:track:5s4HmX3pHUCRm8bRK0L4tx,0.325,0.867,102426,0.695,0.836,1,0.0979,-4.817,1,0.244,75.032,3,0.574,focus
